DOY,GEE
37810,-0.6117555
37811,-0.7699113
37812,-0.6477652
37813,-0.7395999
37814,-0.5010351
37815,-0.5592669
37816,-0.3165012
37817,-0.3269302
37818,-0.1916691
37819,-0.3672166
37820,-0.3295616
37821,-0.4526776
37822,-0.3746592
37823,-0.4870772
37824,-0.3251259
37825,-0.3360308
37826,-0.4244011
37827,-0.4481551
37828,-0.3286669
37829,-0.4611599
37830,-0.3446003
37831,-0.3847971
37832,-2.72424
37833,-0.4067112
37834,-0.4427295
37835,-0.2194035
37836,-0.280801
37837,-0.3326574
37838,-0.5250094
37839,-0.6058504
37840,-0.4408472
37841,-0.5039343
37842,-0.5325029
37843,-0.5676431
37844,-0.4415571
37845,-0.8232457
37846,-0.7015359
37847,-0.6291904
37848,-1.37611
37849,-0.2936881
37850,-0.3617176
37851,-0.3849661
37852,-0.7661836
37853,-0.7852452
37854,-0.3151527
37855,-0.5715314
37856,-0.3470016
37857,-0.443382
37858,-0.4481504
37859,-0.368034
37860,-0.4633364
37861,-0.3035733
37862,-0.2736689
37863,-0.1859009
37864,-0.2197759
37865,-0.2986955
37866,-0.2124992
37867,-0.8353364
37868,-0.2929419
37869,-0.1952273
37870,-0.2383682
37871,-0.3693582
37872,-0.338481
37873,-0.2672939
37874,-0.2530871
37875,-0.5568002
37876,-0.5850584
37877,-0.4490759
37878,-0.3992901
37879,-0.4312667
37880,-0.2284365
37881,-0.2481297
37882,-0.3859391
37883,-0.3282455
37884,-0.2995531
37885,-0.4051361
37886,-0.4247273
37887,-0.4502023
37888,-0.4031712
37889,-0.3326064
37890,-0.2531873
37891,-0.2689939
37892,-0.539997
37893,-0.2211877
37894,-0.4597047
37895,-0.3271128
37896,-0.2488462
37897,-0.2542123
37898,-0.18347
37899,-0.3926022
37900,-0.3285503
37901,-0.2329573
37902,-0.3314992
37903,-0.2757099
37904,-0.2761515
37905,-0.170819
37906,-0.339035
37907,-0.3622247
37908,-0.3400074
37909,-0.1999665
37910,-0.1770629
37911,-0.3533569
37912,-0.2565951
37913,-0.3139721
37914,-0.2916074
37915,-0.3232006
37916,-0.208522
37917,-0.4470678
37918,-0.4664428
37919,-0.2950703
37920,-0.3163606
37921,-0.2705066
37922,-0.3924666
37923,-0.63663
37924,-1.099401
37925,-0.7333916
37926,-1.02029
37927,-2.421295
37928,-0.4371746
37929,-0.3782292
37930,-0.3596079
37931,-0.7444734
37932,-0.2497187
37933,-0.2146417
37934,-0.5875301
37935,-0.9521627
37936,-0.6494396
37937,-0.9561641
37938,-0.8696394
37939,-2.552754
37940,-1.023941
37941,-2.638232
37942,-0.9130303
37943,-1.149628
37944,-1.404481
37945,-1.132489
37946,-1.124769
37947,-1.182691
37948,-1.026206
37949,-1.145683
37950,-1.144813
37951,-1.396355
37952,-0.997283
37953,-1.362423
37954,-1.080309
37955,-1.82036
37956,-1.618786
37957,-1.878539
37958,-1.222495
37959,-1.691119
37960,-1.791782
37961,-1.736843
37962,-1.778819
37963,-0.9662785
37964,-1.335361
37965,-0.9473379
37966,-1.562421
37967,-1.498774
37968,-1.398742
37969,-1.600932
37970,-1.443727
37971,-1.665015
37972,-1.564779
37973,-1.337463
37974,-1.12151
37975,-0.8437414
37976,-1.529619
37977,-2.122131
37978,-1.24804
37979,-1.510796
37980,-2.040545
37981,-1.622227
37982,-1.83838
37983,-1.684571
37984,-2.24397
37985,-1.655646
37986,-0.8932755
37987,-1.416208
37988,-1.304298
37989,-1.329999
37990,-1.479745
37991,-1.580706
37992,-1.814257
37993,-1.231597
37994,-1.133275
37995,-1.14044
37996,-1.177272
37997,-1.125364
37998,-1.311718
37999,-1.187988
38000,-1.276967
